factor_id,candidate_index,horizon,cost_bp,q,positive_validation_blocks,worst_validation_block_bp,validation_rank_ic,validation_trades,validation_trades_per_year,validation_cagr,validation_sharpe,validation_max_drawdown,validation_calmar,validation_mean_gross_bp,selection_rank_ic,selection_trades,selection_trades_per_year,selection_cagr,selection_sharpe,selection_max_drawdown,selection_calmar,selection_mean_gross_bp,frequency_retention,balanced_cagr
BTC_LONG_8ca815bd3ac5e332_1d,681041,1d,5.0,97,4,68.77299008958146,0.07222040681031695,41,30.633151266771314,0.7613361643144843,1.8284040232479535,-0.14002130290598647,5.437288101980188,207.9307645521474,0.04073318935372227,184,53.338095238095235,0.07590497050747191,0.424871869953126,-0.33108034333116354,0.22926450342462001,24.208014489220737,1.7411886479975909,0.07590497050747191
BTC_LONG_1d304d1a2eea9194_1d,141119,1d,5.0,97,3,-24.81147947511178,0.08942252796825693,79,59.024852440852044,0.07345783638356451,0.3814195950854494,-0.3864288524479206,0.19009407790911395,25.873485552366724,0.02705387031902291,234,67.83214285714286,0.041071255583301935,0.28434175993122185,-0.4876676916496461,0.08421975924705846,17.31405777600774,1.1492132559774964,0.041071255583301935
BTC_LONG_67856137165eb145_1d,501009,1d,5.0,99,3,-47.81873853496186,0.07604399183051021,27,20.173050834215257,0.33613957238861625,1.2269230992439388,-0.07290883583957564,4.610409266830679,163.50788476169416,0.029120322395231116,208,60.2952380952381,-0.14831143953991388,-0.6355422235126833,-0.44083672248671535,-0.3364316808801773,-17.667507236032016,2.9889003200731596,-0.14831143953991388
BTC_LONG_2393ab46af204641_1d,171881,1d,5.0,97,4,47.96337623344103,0.011267534482154989,62,46.3233019156054,0.733562913994378,2.0059421201982053,-0.13832001589344878,5.303374997870583,132.81544868247062,-0.008237825554917824,258,74.78928571428571,0.09119966324403639,0.4327660015540871,-0.4064471215349331,0.22438260332518556,22.917952515266204,1.6145067951015533,0.09119966324403639
BTC_LONG_2cea57b2645d72d7_1d,216866,1d,5.0,99,4,53.300817676778244,0.08999806197439755,21,15.690150648834088,0.4157869310436084,1.9048807232858733,-0.04435025790663005,9.375073577226058,237.64418031275997,0.026853296293684437,113,32.756547619047616,0.07510480583588341,0.4228610539185609,-0.32569207607162676,0.23060065427986107,36.21091106530853,2.0877140285126394,0.07510480583588341
BTC_LONG_3f0d561401f5949f_1d,304882,1d,5.0,97,3,-23.28216076373089,0.002594391917637557,86,64.25490265713007,0.03456820458825538,0.26011445777418707,-0.27892046187718633,0.1239357068162191,15.646987853802441,-0.001259733244161785,313,90.73273809523809,-0.05443202821577742,-0.12630453659523122,-0.36798151294306813,-0.1479205511723596,1.7798685791035604,1.4120749443726672,-0.05443202821577742
BTC_LONG_112acbae6242f1c5_1d,83060,1d,5.0,97,4,79.33889247892239,0.06062698885570666,110,82.18650339865475,1.80439543727659,2.4679516782724913,-0.1749034534746,10.31652263823727,142.67456187803973,0.04494573628720743,321,93.05178571428571,0.29664127951125185,0.9195572197949226,-0.36946427647117486,0.8028957017022874,39.4261984554948,1.1322027567340067,0.29664127951125185
BTC_LONG_3327ddfbab14e535_1d,246946,1d,5.0,99,4,141.24729040543414,0.06882490134417509,28,20.92020086511212,0.4789778292019178,1.7620258703706317,-0.09516666594594236,5.033042026227882,204.84989302922605,0.027633550224344987,72,20.87142857142857,0.23287410058585167,1.072212472048657,-0.23665436135631224,0.9840262366229164,115.9617513142602,0.9976686507936506,0.23287410058585167
BTC_LONG_3dc89d8a46754556_1d,298654,1d,5.0,99,3,-50.96589726209771,0.09101347945299779,60,44.82900185381168,0.6303664689851474,1.7335831234394063,-0.08433955141851546,7.474150127466294,123.92674332436081,0.005348000086542098,177,51.308928571428574,0.07612202568375737,0.4396716258423518,-0.28114699199269,0.27075525561993774,24.022361617596967,1.1445476466049382,0.07612202568375737
BTC_LONG_535b76ff51ebe011_1d,403154,1d,5.0,99,3,-185.5575669925713,0.055019565347778805,17,12.701550525246642,0.1853771149313752,0.9185456829726213,-0.09352400473454847,1.9821340569999726,155.07098451428496,0.04425025534204095,72,20.87142857142857,-0.06197635506889532,-0.2400887542916522,-0.4287010489279912,-0.14456777100003193,-16.8670934652932,1.643218954248366,-0.06197635506889532
BTC_LONG_a0f4ef91bb443b47_1d,779707,1d,5.0,95,3,-161.4479362092359,0.012603965234632464,96,71.72640296609869,-0.11205183903790505,-0.1605634398844892,-0.48677920319889767,-0.2301902757996848,-2.846971227018225,-0.011788995619807108,283,82.03630952380952,-0.1140184755364898,-0.29771483470181176,-0.49269152609253863,-0.23141959927899095,-5.0808263916624155,1.1437393502443414,-0.1140184755364898
BTC_LONG_58aa8f55223a7db7_1d,429071,1d,5.0,99,4,41.432641335276365,0.03202637712619493,34,25.403101050493284,0.3721738988570882,1.5195622409672962,-0.14093165983683165,2.640811151220279,139.17869298878549,0.04181520142817038,117,33.91607142857143,0.12596576068481835,0.7364471734153922,-0.16068975244778538,0.7839066198434137,44.74374445679298,1.3351154003267973,0.12596576068481835
BTC_LONG_a797c469d9fc2d55_1d,812217,1d,5.0,97,4,30.900401671216525,0.07425831215840646,108,80.69220333686103,0.42204398505244134,0.9422805078260248,-0.3176775222828778,1.3285295793658003,65.70538909169844,0.04223953754818368,324,93.92142857142856,-0.4082588943759776,-1.325252202566568,-0.8463964480612299,-0.4823494891916694,-44.19466616376273,1.1639467592592592,-0.4082588943759776
